tweet_id,retweet_count,favorite_count
892420643555336193,7739,36373
892177421306343426,5730,31328
891815181378084864,3791,23609
891689557279858688,7905,39671
891327558926688256,8527,37885
891087950875897856,2852,19072
890971913173991426,1861,11111
890729181411237888,17268,61296
890609185150312448,3935,26270
890240255349198849,6733,30000
890006608113172480,6724,28882
889880896479866881,4571,26255
889665388333682689,9166,45246
889638837579907072,4117,25469
889531135344209921,2065,14239
889278841981685760,4886,23713
888917238123831296,4126,27421
888804989199671297,3891,24083
888554962724278272,3191,18608
888078434458587136,3171,20510
887705289381826560,4933,28464
887517139158093824,10784,43685
887473957103951883,16503,64781
887343217045368832,9590,31679
887101392804085760,5455,28837
886983233522544640,7034,32919
886736880519319552,2945,11294
886680336477933568,4090,21158
886366144734445568,2902,19922
886267009285017600,4,113
886258384151887873,5785,26364
886054160059072513,100,0
885984800019947520,6159,30667
885528943205470208,5854,33857
885518971528720385,3419,19287
885311592912609280,16977,0
885167619883638784,4009,20619
884925521741709313,16598,72714
884876753390489601,5123,26235
884562892145688576,4306,22891
884441805382717440,5217,25506
884247878851493888,18645,68448
884162670584377345,2743,19218
883838122936631299,3151,20576
883482846933004288,9053,43172
883360690899218434,3393,21362
883117836046086144,6088,34943
882992080364220416,3568,22509
882762694511734784,4481,26637
882627270321602560,5572,26364
882268110199369728,10616,42242
882045870035918850,4486,27628
881906580714921986,3115,22912
881666595344535552,9792,47711
881633300179243008,7,120
881536004380872706,14650,46579
881268444196462592,4826,21885
880935762899988482,2557,16090
880872448815771648,3513,20060
880465832366813184,5713,26841
880221127280381952,3816,25426
880095782870896641,3985,26024
879862464715927552,3211,21078
879674319642796034,10,298
879492040517615616,2923,22123
879415818425184262,40778,99691
879376492567855104,2869,15843
879130579576475649,6242,0
879050749262655488,4302,21244
879008229531029506,2468,17896
878776093423087618,3752,18255
878604707211726852,6536,28422
878404777348136964,1183,0
878316110768087041,6123,0
878281511006478336,1183,7292
878057613040115712,6242,39706
877736472329191424,17428,74841
877611172832227328,72,0
877556246731214848,3499,21430
877316821321428993,4772,25848
877201837425926144,5134,25591
876838120628539392,3064,19521
876537666061221889,4312,22317
876484053909872640,2182,17726
876120275196170240,4300,26429
875747767867523072,3935,23779
875144289856114688,4521,20690
875097192612077568,5597,25924
875021211251597312,4353,24077
874680097055178752,4271,26281
874434818259525634,13403,0
874296783580663808,3784,24624
874057562936811520,3665,21479
874012996292530176,9471,32455
873580283840344065,3626,22910
873337748698140672,1471,0
873213775632977920,1471,6784
872967104147763200,5013,25844
872820683541237760,3441,13970
872620804844003328,3376,19640
872486979161796608,8365,38621
872122724285648897,7499,32539
871879754684805121,10208,35673
871762521631449091,3236,19191
871515927908634625,3227,19137
871166179821445120,5301,0
871102520638267392,5121,19859
871032628920680449,3555,21594
870804317367881728,5749,31965
870726314365509632,3,117
870656317836468226,2457,11753
870374049280663552,24631,78845
870308999962521604,3866,20828
870063196459192321,7750,34760
869772420881756160,9419,40469
869702957897576449,5883,26901
869596645499047938,2916,15217
869227993411051520,3533,19451
868880397819494401,13480,62382
868639477480148993,1935,0
868622495443632128,4958,25448
868552278524837888,1935,9612
867900495410671616,3913,23103
867774946302451713,6886,32440
867421006826221569,2334,15368
867072653475098625,112,0
867051520902168576,7389,30788
866720684873056260,4497,19156
866686824827068416,3273,18446
866450705531457537,33117,116927
866334964761202691,13403,50146
866094527597207552,7887,0
865718153858494464,5289,24564
